NaN	-2.5401	-2.2606	-2.0076	-1.7787	-1.5716	-1.3842	-1.2147	-1.0612	-0.92242	-0.79681	-0.68315	-0.5803	-0.48725	-0.40305	-0.32686	-0.25792	-0.19554	-0.1391	-0.088028	-0.041817	-3.98E-06	0.038898	0.084801	0.13553	0.1916	0.25356	0.32204	0.39773	0.48137	0.57381	0.67597	0.78887	0.91365	1.0516	1.204	1.3724	1.5585	1.7643	1.9916	2.2429	2.5206
0	5.14E+12	6.26E+12	7.71E+12	9.43E+12	1.14E+13	1.35E+13	1.56E+13	1.76E+13	1.90E+13	2.00E+13	2.03E+13	2.01E+13	1.97E+13	1.91E+13	1.85E+13	1.79E+13	1.74E+13	1.70E+13	1.66E+13	1.63E+13	1.60E+13	1.58E+13	1.55E+13	1.51E+13	1.47E+13	1.42E+13	1.37E+13	1.31E+13	1.24E+13	1.17E+13	1.09E+13	1.00E+13	9.13E+12	8.22E+12	7.32E+12	6.46E+12	5.64E+12	4.88E+12	4.20E+12	3.58E+12	3.03E+12
0.1002	5.13E+12	6.23E+12	7.66E+12	9.37E+12	1.13E+13	1.35E+13	1.56E+13	1.77E+13	1.93E+13	2.05E+13	2.11E+13	2.11E+13	2.08E+13	2.02E+13	1.96E+13	1.90E+13	1.84E+13	1.79E+13	1.74E+13	1.70E+13	1.66E+13	1.63E+13	1.59E+13	1.55E+13	1.50E+13	1.44E+13	1.38E+13	1.32E+13	1.25E+13	1.17E+13	1.08E+13	9.96E+12	9.06E+12	8.15E+12	7.26E+12	6.41E+12	5.60E+12	4.85E+12	4.17E+12	3.56E+12	3.02E+12
0.2004	5.09E+12	6.18E+12	7.58E+12	9.25E+12	1.12E+13	1.33E+13	1.56E+13	1.78E+13	1.97E+13	2.12E+13	2.21E+13	2.25E+13	2.23E+13	2.19E+13	2.12E+13	2.05E+13	1.98E+13	1.92E+13	1.85E+13	1.80E+13	1.75E+13	1.70E+13	1.65E+13	1.59E+13	1.53E+13	1.47E+13	1.40E+13	1.32E+13	1.24E+13	1.16E+13	1.07E+13	9.83E+12	8.93E+12	8.03E+12	7.16E+12	6.32E+12	5.53E+12	4.80E+12	4.13E+12	3.53E+12	3.00E+12
0.3006	5.02E+12	6.09E+12	7.45E+12	9.07E+12	1.10E+13	1.31E+13	1.53E+13	1.76E+13	1.97E+13	2.15E+13	2.28E+13	2.35E+13	2.36E+13	2.33E+13	2.27E+13	2.20E+13	2.11E+13	2.03E+13	1.96E+13	1.89E+13	1.82E+13	1.77E+13	1.70E+13	1.63E+13	1.56E+13	1.48E+13	1.40E+13	1.31E+13	1.23E+13	1.14E+13	1.05E+13	9.62E+12	8.73E+12	7.86E+12	7.01E+12	6.19E+12	5.43E+12	4.72E+12	4.07E+12	3.49E+12	2.97E+12
0.4008	4.92E+12	5.98E+12	7.27E+12	8.81E+12	1.06E+13	1.26E+13	1.48E+13	1.70E+13	1.92E+13	2.11E+13	2.25E+13	2.34E+13	2.38E+13	2.36E+13	2.31E+13	2.24E+13	2.16E+13	2.07E+13	1.99E+13	1.91E+13	1.85E+13	1.78E+13	1.71E+13	1.63E+13	1.55E+13	1.46E+13	1.38E+13	1.29E+13	1.20E+13	1.11E+13	1.02E+13	9.33E+12	8.46E+12	7.62E+12	6.81E+12	6.03E+12	5.30E+12	4.62E+12	3.99E+12	3.43E+12	2.93E+12
0.501	4.81E+12	5.83E+12	7.05E+12	8.48E+12	1.01E+13	1.20E+13	1.39E+13	1.59E+13	1.78E+13	1.95E+13	2.09E+13	2.18E+13	2.23E+13	2.23E+13	2.19E+13	2.14E+13	2.07E+13	1.99E+13	1.92E+13	1.85E+13	1.78E+13	1.72E+13	1.65E+13	1.57E+13	1.49E+13	1.41E+13	1.32E+13	1.24E+13	1.15E+13	1.06E+13	9.77E+12	8.94E+12	8.12E+12	7.32E+12	6.56E+12	5.83E+12	5.14E+12	4.50E+12	3.90E+12	3.36E+12	2.88E+12
0.6012	4.67E+12	5.65E+12	6.77E+12	8.07E+12	9.53E+12	1.11E+13	1.27E+13	1.43E+13	1.58E+13	1.71E+13	1.82E+13	1.89E+13	1.93E+13	1.94E+13	1.93E+13	1.89E+13	1.85E+13	1.80E+13	1.74E+13	1.69E+13	1.63E+13	1.58E+13	1.53E+13	1.46E+13	1.39E+13	1.32E+13	1.24E+13	1.16E+13	1.08E+13	1.00E+13	9.22E+12	8.45E+12	7.70E+12	6.98E+12	6.27E+12	5.60E+12	4.96E+12	4.35E+12	3.79E+12	3.28E+12	2.82E+12
0.7014	4.50E+12	5.44E+12	6.46E+12	7.60E+12	8.83E+12	1.01E+13	1.13E+13	1.25E+13	1.34E+13	1.42E+13	1.48E+13	1.53E+13	1.56E+13	1.57E+13	1.58E+13	1.57E+13	1.55E+13	1.52E+13	1.49E+13	1.46E+13	1.42E+13	1.39E+13	1.35E+13	1.30E+13	1.25E+13	1.19E+13	1.13E+13	1.06E+13	9.95E+12	9.26E+12	8.58E+12	7.90E+12	7.23E+12	6.58E+12	5.95E+12	5.34E+12	4.75E+12	4.19E+12	3.67E+12	3.19E+12	2.75E+12
0.8016	4.33E+12	5.18E+12	6.09E+12	7.07E+12	8.06E+12	9.01E+12	9.85E+12	1.05E+13	1.10E+13	1.12E+13	1.14E+13	1.15E+13	1.17E+13	1.18E+13	1.20E+13	1.21E+13	1.21E+13	1.21E+13	1.20E+13	1.19E+13	1.18E+13	1.16E+13	1.14E+13	1.12E+13	1.08E+13	1.04E+13	9.99E+12	9.50E+12	8.97E+12	8.42E+12	7.86E+12	7.28E+12	6.72E+12	6.15E+12	5.59E+12	5.05E+12	4.52E+12	4.02E+12	3.54E+12	3.09E+12	2.68E+12
0.9018	4.13E+12	4.90E+12	5.70E+12	6.50E+12	7.25E+12	7.89E+12	8.35E+12	8.57E+12	8.59E+12	8.45E+12	8.28E+12	8.17E+12	8.18E+12	8.30E+12	8.49E+12	8.71E+12	8.92E+12	9.09E+12	9.21E+12	9.28E+12	9.31E+12	9.31E+12	9.28E+12	9.20E+12	9.06E+12	8.87E+12	8.61E+12	8.30E+12	7.93E+12	7.53E+12	7.09E+12	6.64E+12	6.17E+12	5.70E+12	5.22E+12	4.75E+12	4.28E+12	3.83E+12	3.40E+12	2.98E+12	2.60E+12
1.002	3.93E+12	4.59E+12	5.27E+12	5.90E+12	6.42E+12	6.78E+12	6.91E+12	6.79E+12	6.48E+12	6.07E+12	5.69E+12	5.43E+12	5.34E+12	5.41E+12	5.61E+12	5.87E+12	6.15E+12	6.42E+12	6.66E+12	6.85E+12	7.00E+12	7.12E+12	7.22E+12	7.30E+12	7.33E+12	7.31E+12	7.23E+12	7.08E+12	6.88E+12	6.62E+12	6.31E+12	5.97E+12	5.61E+12	5.23E+12	4.84E+12	4.44E+12	4.03E+12	3.63E+12	3.24E+12	2.87E+12	2.51E+12
1.1022	3.71E+12	4.27E+12	4.83E+12	5.30E+12	5.61E+12	5.72E+12	5.59E+12	5.23E+12	4.72E+12	4.18E+12	3.71E+12	3.39E+12	3.25E+12	3.28E+12	3.44E+12	3.69E+12	3.98E+12	4.27E+12	4.55E+12	4.80E+12	5.01E+12	5.20E+12	5.39E+12	5.58E+12	5.73E+12	5.84E+12	5.91E+12	5.91E+12	5.84E+12	5.72E+12	5.54E+12	5.31E+12	5.05E+12	4.76E+12	4.45E+12	4.12E+12	3.78E+12	3.43E+12	3.09E+12	2.75E+12	2.42E+12
1.2024	3.49E+12	3.95E+12	4.38E+12	4.69E+12	4.82E+12	4.74E+12	4.42E+12	3.91E+12	3.32E+12	2.75E+12	2.29E+12	1.99E+12	1.85E+12	1.85E+12	1.96E+12	2.16E+12	2.41E+12	2.68E+12	2.94E+12	3.19E+12	3.42E+12	3.63E+12	3.87E+12	4.10E+12	4.33E+12	4.53E+12	4.70E+12	4.82E+12	4.87E+12	4.86E+12	4.80E+12	4.67E+12	4.50E+12	4.30E+12	4.06E+12	3.80E+12	3.52E+12	3.22E+12	2.92E+12	2.62E+12	2.33E+12
1.3026	3.26E+12	3.63E+12	3.93E+12	4.11E+12	4.09E+12	3.85E+12	3.41E+12	2.85E+12	2.26E+12	1.75E+12	1.35E+12	1.10E+12	9.79E+11	9.65E+11	1.04E+12	1.18E+12	1.36E+12	1.58E+12	1.80E+12	2.02E+12	2.23E+12	2.43E+12	2.66E+12	2.91E+12	3.16E+12	3.41E+12	3.64E+12	3.84E+12	3.98E+12	4.07E+12	4.10E+12	4.06E+12	3.98E+12	3.85E+12	3.68E+12	3.48E+12	3.26E+12	3.01E+12	2.76E+12	2.49E+12	2.23E+12
1.4028	3.03E+12	3.31E+12	3.50E+12	3.55E+12	3.41E+12	3.07E+12	2.58E+12	2.02E+12	1.50E+12	1.07E+12	7.64E+11	5.77E+11	4.84E+11	4.66E+11	5.06E+11	5.94E+11	7.20E+11	8.72E+11	1.04E+12	1.21E+12	1.38E+12	1.55E+12	1.76E+12	1.99E+12	2.24E+12	2.50E+12	2.75E+12	2.99E+12	3.19E+12	3.35E+12	3.45E+12	3.49E+12	3.48E+12	3.42E+12	3.31E+12	3.17E+12	3.00E+12	2.81E+12	2.59E+12	2.36E+12	2.13E+12
1.503	2.80E+12	3.01E+12	3.08E+12	3.03E+12	2.80E+12	2.40E+12	1.90E+12	1.40E+12	9.56E+11	6.29E+11	4.13E+11	2.87E+11	2.24E+11	2.07E+11	2.26E+11	2.77E+11	3.54E+11	4.52E+11	5.67E+11	6.91E+11	8.19E+11	9.50E+11	1.12E+12	1.31E+12	1.53E+12	1.77E+12	2.03E+12	2.28E+12	2.51E+12	2.71E+12	2.87E+12	2.97E+12	3.01E+12	3.01E+12	2.96E+12	2.88E+12	2.75E+12	2.60E+12	2.43E+12	2.23E+12	2.03E+12
1.6032	2.58E+12	2.70E+12	2.70E+12	2.56E+12	2.26E+12	1.84E+12	1.37E+12	9.36E+11	5.92E+11	3.58E+11	2.15E+11	1.37E+11	9.77E+10	8.49E+10	9.23E+10	1.18E+11	1.61E+11	2.20E+11	2.92E+11	3.74E+11	4.63E+11	5.57E+11	6.81E+11	8.34E+11	1.01E+12	1.22E+12	1.45E+12	1.70E+12	1.94E+12	2.16E+12	2.35E+12	2.49E+12	2.59E+12	2.63E+12	2.63E+12	2.59E+12	2.51E+12	2.40E+12	2.26E+12	2.10E+12	1.93E+12
