NaN,-2.5401,-2.2606,-2.0076,-1.7787,-1.5716,-1.3842,-1.2147,-1.0612,-0.92242,-0.79681,-0.68315,-0.5803,-0.48725,-0.40305,-0.32686,-0.25792,-0.19554,-0.1391,-0.088028,-0.041817,-3.9757e-06,0.038898,0.084801,0.13553,0.1916,0.25356,0.32204,0.39773,0.48137,0.57381,0.67597,0.78887,0.91365,1.0516,1.204,1.3724,1.5585,1.7643,1.9916,2.2429,2.5206
0,3.6099e+10,4.4261e+10,5.5257e+10,6.9096e+10,8.6285e+10,1.073e+11,1.3245e+11,1.6165e+11,1.942e+11,2.2863e+11,2.6274e+11,2.9397e+11,3.2001e+11,3.3936e+11,3.5163e+11,3.5741e+11,3.5787e+11,3.5439e+11,3.4827e+11,3.4056e+11,3.3207e+11,3.2309e+11,3.1145e+11,2.9762e+11,2.8165e+11,2.6368e+11,2.4404e+11,2.2315e+11,2.0155e+11,1.7984e+11,1.5857e+11,1.3828e+11,1.1934e+11,1.0205e+11,8.655e+10,7.2886e+10,6.1008e+10,5.0807e+10,4.2134e+10,3.4822e+10,2.8698e+10
0.1002,3.6002e+10,4.4011e+10,5.4805e+10,6.8343e+10,8.5066e+10,1.0537e+11,1.2946e+11,1.5713e+11,1.8763e+11,2.1949e+11,2.5064e+11,2.7883e+11,3.0211e+11,3.1928e+11,3.3015e+11,3.3529e+11,3.3575e+11,3.3276e+11,3.2742e+11,3.2065e+11,3.1317e+11,3.0522e+11,2.9486e+11,2.8249e+11,2.6811e+11,2.5183e+11,2.3388e+11,2.1466e+11,1.9462e+11,1.7432e+11,1.5428e+11,1.3501e+11,1.169e+11,1.0026e+11,8.5262e+10,7.1971e+10,6.0365e+10,5.036e+10,4.1826e+10,3.4611e+10,2.8555e+10
0.2004,3.5712e+10,4.3561e+10,5.4e+10,6.7008e+10,8.2916e+10,1.0198e+11,1.2424e+11,1.4933e+11,1.7637e+11,2.0396e+11,2.3028e+11,2.5356e+11,2.7242e+11,2.8614e+11,2.9477e+11,2.9889e+11,2.9935e+11,2.971e+11,2.9299e+11,2.8772e+11,2.8183e+11,2.7551e+11,2.672e+11,2.5717e+11,2.4536e+11,2.3181e+11,2.1666e+11,2.0019e+11,1.8275e+11,1.6481e+11,1.4684e+11,1.2932e+11,1.1264e+11,9.7126e+10,8.2994e+10,7.0353e+10,5.9226e+10,4.9566e+10,4.1278e+10,3.4235e+10,2.8298e+10
0.3006,3.5234e+10,4.291e+10,5.2853e+10,6.5124e+10,7.9905e+10,9.7279e+10,1.1707e+11,1.3875e+11,1.6132e+11,1.8348e+11,2.0381e+11,2.2111e+11,2.3467e+11,2.4431e+11,2.5031e+11,2.5322e+11,2.5366e+11,2.5225e+11,2.4956e+11,2.4603e+11,2.42e+11,2.3762e+11,2.3175e+11,2.2453e+11,2.1585e+11,2.0565e+11,1.9398e+11,1.8097e+11,1.6686e+11,1.5198e+11,1.3672e+11,1.2152e+11,1.0675e+11,9.2767e+10,7.9821e+10,6.8079e+10,5.7618e+10,4.8441e+10,4.0498e+10,3.3698e+10,2.7932e+10
0.4008,3.4576e+10,4.2052e+10,5.1381e+10,6.2733e+10,7.613e+10,9.1457e+10,1.0834e+11,1.2605e+11,1.4359e+11,1.5983e+11,1.738e+11,1.8495e+11,1.9318e+11,1.9878e+11,2.022e+11,2.0391e+11,2.0429e+11,2.0368e+11,2.0233e+11,2.0047e+11,1.9827e+11,1.9579e+11,1.9236e+11,1.8798e+11,1.8251e+11,1.7582e+11,1.6784e+11,1.5858e+11,1.4812e+11,1.3668e+11,1.2452e+11,1.1201e+11,9.9506e+10,8.7356e+10,7.5853e+10,6.5216e+10,5.558e+10,4.7008e+10,3.95e+10,3.301e+10,2.746e+10
0.501,3.3747e+10,4.098e+10,4.9604e+10,5.9891e+10,7.1706e+10,8.4745e+10,9.8445e+10,1.1198e+11,1.244e+11,1.3485e+11,1.4286e+11,1.4845e+11,1.5203e+11,1.5419e+11,1.5544e+11,1.5612e+11,1.5641e+11,1.5641e+11,1.5615e+11,1.5566e+11,1.5498e+11,1.5412e+11,1.5279e+11,1.509e+11,1.483e+11,1.4483e+11,1.4032e+11,1.3466e+11,1.2783e+11,1.1986e+11,1.1093e+11,1.0128e+11,9.1225e+10,8.1101e+10,7.122e+10,6.1842e+10,5.3161e+10,4.5296e+10,3.8302e+10,3.2178e+10,2.6888e+10
0.6012,3.2762e+10,3.968e+10,4.7541e+10,5.6658e+10,6.6761e+10,7.7388e+10,8.7849e+10,9.7296e+10,1.0493e+11,1.1024e+11,1.1324e+11,1.144e+11,1.1446e+11,1.141e+11,1.1377e+11,1.1369e+11,1.1388e+11,1.1425e+11,1.1472e+11,1.1517e+11,1.1557e+11,1.1587e+11,1.161e+11,1.1612e+11,1.1579e+11,1.1492e+11,1.1333e+11,1.1081e+11,1.0722e+11,1.0249e+11,9.6643e+10,8.9819e+10,8.225e+10,7.423e+10,6.6067e+10,5.805e+10,5.0416e+10,4.3338e+10,3.6921e+10,3.1216e+10,2.6222e+10
0.7014,3.1634e+10,3.8144e+10,4.5216e+10,5.3097e+10,6.1431e+10,6.964e+10,7.698e+10,8.2678e+10,8.6172e+10,8.7344e+10,8.66e+10,8.4708e+10,8.2497e+10,8.0596e+10,7.9337e+10,7.8792e+10,7.8869e+10,7.9405e+10,8.0231e+10,8.12e+10,8.2205e+10,8.3201e+10,8.439e+10,8.5639e+10,8.6836e+10,8.7824e+10,8.84e+10,8.8335e+10,8.7406e+10,8.5437e+10,8.2336e+10,7.8122e+10,7.2927e+10,6.6977e+10,6.055e+10,5.3939e+10,4.7408e+10,4.1171e+10,3.5382e+10,3.0134e+10,2.547e+10
0.8016,3.0381e+10,3.637e+10,4.2654e+10,4.9277e+10,5.585e+10,6.1741e+10,6.6232e+10,6.8712e+10,6.892e+10,6.7098e+10,6.3938e+10,6.0313e+10,5.6982e+10,5.4409e+10,5.2764e+10,5.2008e+10,5.1991e+10,5.2524e+10,5.3428e+10,5.4549e+10,5.5769e+10,5.7041e+10,5.8656e+10,6.0508e+10,6.2532e+10,6.4612e+10,6.6575e+10,6.8197e+10,6.9226e+10,6.9419e+10,6.8586e+10,6.6632e+10,6.3582e+10,5.9571e+10,5.4824e+10,4.961e+10,4.42e+10,3.8835e+10,3.3707e+10,2.8949e+10,2.464e+10
