NaN	-2.5401	-2.2606	-2.0076	-1.7787	-1.5716	-1.3842	-1.2147	-1.0612	-0.92242	-0.79681	-0.68315	-0.5803	-0.48725	-0.40305	-0.32686	-0.25792	-0.19554	-0.1391	-0.088028	-0.041817	-3.98E-06	0.038898	0.084801	0.13553	0.1916	0.25356	0.32204	0.39773	0.48137	0.57381	0.67597	0.78887	0.91365	1.0516	1.204	1.3724	1.5585	1.7643	1.9916	2.2429	2.5206
0	6.51E+11	7.98E+11	9.96E+11	1.24E+12	1.55E+12	1.93E+12	2.38E+12	2.89E+12	3.46E+12	4.06E+12	4.65E+12	5.19E+12	5.63E+12	5.96E+12	6.16E+12	6.25E+12	6.26E+12	6.19E+12	6.08E+12	5.94E+12	5.80E+12	5.64E+12	5.44E+12	5.20E+12	4.92E+12	4.61E+12	4.27E+12	3.91E+12	3.53E+12	3.16E+12	2.79E+12	2.44E+12	2.11E+12	1.81E+12	1.53E+12	1.29E+12	1.09E+12	9.05E+11	7.52E+11	6.22E+11	5.13E+11
0.1002	6.49E+11	7.94E+11	9.88E+11	1.23E+12	1.53E+12	1.89E+12	2.32E+12	2.82E+12	3.35E+12	3.91E+12	4.46E+12	4.94E+12	5.34E+12	5.64E+12	5.82E+12	5.90E+12	5.90E+12	5.85E+12	5.75E+12	5.63E+12	5.49E+12	5.35E+12	5.17E+12	4.95E+12	4.70E+12	4.42E+12	4.10E+12	3.77E+12	3.42E+12	3.07E+12	2.72E+12	2.38E+12	2.07E+12	1.78E+12	1.51E+12	1.28E+12	1.07E+12	8.98E+11	7.47E+11	6.19E+11	5.11E+11
0.2004	6.44E+11	7.86E+11	9.74E+11	1.21E+12	1.49E+12	1.84E+12	2.23E+12	2.68E+12	3.16E+12	3.65E+12	4.12E+12	4.53E+12	4.85E+12	5.09E+12	5.24E+12	5.30E+12	5.31E+12	5.26E+12	5.18E+12	5.09E+12	4.98E+12	4.87E+12	4.72E+12	4.54E+12	4.33E+12	4.09E+12	3.82E+12	3.53E+12	3.22E+12	2.91E+12	2.59E+12	2.29E+12	1.99E+12	1.72E+12	1.47E+12	1.25E+12	1.05E+12	8.84E+11	7.37E+11	6.12E+11	5.06E+11
0.3006	6.36E+11	7.74E+11	9.53E+11	1.17E+12	1.44E+12	1.75E+12	2.11E+12	2.50E+12	2.90E+12	3.30E+12	3.66E+12	3.97E+12	4.21E+12	4.38E+12	4.48E+12	4.53E+12	4.53E+12	4.50E+12	4.45E+12	4.38E+12	4.31E+12	4.23E+12	4.12E+12	3.99E+12	3.83E+12	3.65E+12	3.44E+12	3.21E+12	2.96E+12	2.69E+12	2.42E+12	2.15E+12	1.89E+12	1.65E+12	1.42E+12	1.21E+12	1.03E+12	8.64E+11	7.23E+11	6.02E+11	5.00E+11
0.4008	6.24E+11	7.59E+11	9.27E+11	1.13E+12	1.37E+12	1.65E+12	1.95E+12	2.27E+12	2.59E+12	2.88E+12	3.14E+12	3.34E+12	3.49E+12	3.59E+12	3.65E+12	3.67E+12	3.68E+12	3.66E+12	3.64E+12	3.60E+12	3.56E+12	3.51E+12	3.44E+12	3.36E+12	3.26E+12	3.14E+12	2.99E+12	2.82E+12	2.64E+12	2.43E+12	2.21E+12	1.99E+12	1.77E+12	1.55E+12	1.35E+12	1.16E+12	9.91E+11	8.39E+11	7.06E+11	5.90E+11	4.91E+11
0.501	6.09E+11	7.39E+11	8.95E+11	1.08E+12	1.29E+12	1.53E+12	1.78E+12	2.02E+12	2.25E+12	2.44E+12	2.59E+12	2.69E+12	2.76E+12	2.80E+12	2.82E+12	2.83E+12	2.83E+12	2.83E+12	2.82E+12	2.81E+12	2.80E+12	2.78E+12	2.75E+12	2.72E+12	2.67E+12	2.60E+12	2.51E+12	2.41E+12	2.28E+12	2.14E+12	1.98E+12	1.80E+12	1.62E+12	1.44E+12	1.27E+12	1.10E+12	9.48E+11	8.09E+11	6.84E+11	5.75E+11	4.81E+11
0.6012	5.91E+11	7.16E+11	8.58E+11	1.02E+12	1.20E+12	1.40E+12	1.59E+12	1.76E+12	1.90E+12	2.00E+12	2.05E+12	2.08E+12	2.08E+12	2.08E+12	2.07E+12	2.07E+12	2.07E+12	2.08E+12	2.09E+12	2.09E+12	2.10E+12	2.10E+12	2.11E+12	2.10E+12	2.09E+12	2.07E+12	2.04E+12	1.99E+12	1.92E+12	1.84E+12	1.73E+12	1.60E+12	1.47E+12	1.32E+12	1.18E+12	1.04E+12	9.00E+11	7.74E+11	6.60E+11	5.58E+11	4.69E+11
0.7014	5.71E+11	6.88E+11	8.16E+11	9.58E+11	1.11E+12	1.26E+12	1.39E+12	1.49E+12	1.56E+12	1.58E+12	1.57E+12	1.54E+12	1.50E+12	1.47E+12	1.45E+12	1.44E+12	1.44E+12	1.45E+12	1.47E+12	1.49E+12	1.50E+12	1.52E+12	1.54E+12	1.56E+12	1.58E+12	1.59E+12	1.60E+12	1.60E+12	1.58E+12	1.54E+12	1.48E+12	1.40E+12	1.30E+12	1.20E+12	1.08E+12	9.64E+11	8.47E+11	7.36E+11	6.33E+11	5.39E+11	4.56E+11
0.8016	5.48E+11	6.56E+11	7.70E+11	8.89E+11	1.01E+12	1.11E+12	1.20E+12	1.24E+12	1.25E+12	1.22E+12	1.16E+12	1.10E+12	1.04E+12	9.95E+11	9.67E+11	9.55E+11	9.56E+11	9.67E+11	9.83E+11	1.00E+12	1.03E+12	1.05E+12	1.08E+12	1.11E+12	1.14E+12	1.18E+12	1.21E+12	1.24E+12	1.25E+12	1.25E+12	1.24E+12	1.20E+12	1.14E+12	1.07E+12	9.81E+11	8.87E+11	7.90E+11	6.95E+11	6.03E+11	5.18E+11	4.41E+11
0.9018	5.24E+11	6.20E+11	7.20E+11	8.17E+11	9.05E+11	9.73E+11	1.01E+12	1.01E+12	9.71E+11	9.05E+11	8.27E+11	7.52E+11	6.89E+11	6.43E+11	6.15E+11	6.03E+11	6.02E+11	6.12E+11	6.27E+11	6.46E+11	6.68E+11	6.90E+11	7.20E+11	7.55E+11	7.96E+11	8.40E+11	8.86E+11	9.31E+11	9.69E+11	9.97E+11	1.01E+12	1.00E+12	9.80E+11	9.38E+11	8.79E+11	8.09E+11	7.31E+11	6.51E+11	5.71E+11	4.96E+11	4.25E+11
1.002	4.97E+11	5.81E+11	6.66E+11	7.42E+11	8.02E+11	8.37E+11	8.37E+11	8.02E+11	7.36E+11	6.54E+11	5.70E+11	4.96E+11	4.38E+11	3.98E+11	3.74E+11	3.63E+11	3.62E+11	3.68E+11	3.81E+11	3.96E+11	4.14E+11	4.34E+11	4.60E+11	4.93E+11	5.31E+11	5.76E+11	6.25E+11	6.77E+11	7.28E+11	7.73E+11	8.07E+11	8.27E+11	8.29E+11	8.12E+11	7.78E+11	7.30E+11	6.71E+11	6.06E+11	5.38E+11	4.72E+11	4.08E+11
1.1022	4.70E+11	5.41E+11	6.11E+11	6.67E+11	7.01E+11	7.07E+11	6.80E+11	6.22E+11	5.43E+11	4.58E+11	3.79E+11	3.15E+11	2.68E+11	2.37E+11	2.18E+11	2.09E+11	2.07E+11	2.12E+11	2.20E+11	2.32E+11	2.45E+11	2.60E+11	2.81E+11	3.07E+11	3.40E+11	3.79E+11	4.25E+11	4.77E+11	5.31E+11	5.83E+11	6.30E+11	6.67E+11	6.89E+11	6.93E+11	6.81E+11	6.52E+11	6.10E+11	5.60E+11	5.04E+11	4.47E+11	3.90E+11
